gene_name	class
Actin binding protein	abp
A-X actin	actin
ACT	actin
ACT domain-containing protein	actin
ACT protein	actin
ACT-3	actin
ACT-like protein	actin
ACT1	actin
ACT1 protein	actin
ACT10 protein	actin
Act1p	actin
ACT2	actin
ACT2 protein	actin
Act2 protein	actin
Act22 protein	actin
Act3 protein	actin
ACT3 protein	actin
ACT4 protein	actin
ACT5	actin
ACT5 protein	actin
ACTA protein	actin
ActA, actin	actin
Acta1	actin
ACTA1 protein	actin
ACTA2 protein	actin
ActA3a protein	actin
ACTB	actin
ACTB isoform 10	actin
ACTB isoform 13	actin
ACTB protein	actin
ACTB_G1	actin
ACTC protein	actin
ACTC1	actin
ACTF	actin
ACTG protein	actin
ACTG1	actin
ACTG1 (Actin, cytoplasmic 2)	actin
ACTG1 isoform 11	actin
ACTG1 protein	actin
Actg1 protein	actin
ACTG2	actin
ACTG2 isoform 4	actin
ACTG2 isoform 6	actin
Actg2 protein	actin
ACTH protein	actin
ACTI protein	actin
Actin	actin
ACTIN	actin
Actin (Actin beta/gamma 1)	actin
Actin (Actin beta/gamma 1) (Actin-3)	actin
Actin (Actin type 6)	actin
Actin (Actin-2)	actin
Actin (Actin-4) (Actin-like protein 5)	actin
Actin (Actin-related protein ARP3 class) (Bin3 family protein)	actin
Actin (Actin, cytoplasmic)	actin
Actin (Actin, putative)	actin
Actin (Beta-actin)	actin
Actin (Centractin)	actin
Actin (EC 2.7.7.6)	actin
Actin (EC 3.6.4.-)	actin
Actin (Hypothetical protein)	actin
Actin (IDA5 protein)	actin
Actin (NuA4 histone acetyltransferase subunit)	actin
Actin [Encephalitozoon cuniculi GB-M1]	actin
Actin 1	actin
Actin 1 (Actin 1 variant 1) (Actin 1 variant 2)	actin
Actin 1-7	actin
Actin 1-9	actin
Actin 11	actin
Actin 11-like protein	actin
Actin 1157	actin
Actin 1D	actin
Actin 2	actin
Actin 2 (Actin protein coding 12)	actin
Actin 2 protein	actin
Actin 2 protein putative	actin
Actin 2, putative	actin
Actin 3	actin
Actin 3 isoform 3	actin
Actin 4	actin
Actin 4-2	actin
Actin 5	actin
Actin 5-like protein	actin
Actin 58	actin
Actin 5C	actin
Actin 5c	actin
Actin 5C (Actin-2) (SJCHGC06318 protein)	actin
Actin 5C/42A	actin
Actin 6	actin
Actin 6a	actin
Actin 6A	actin
Actin 6B	actin
Actin 7	actin
Actin 7 isoform 1	actin
Actin 7 isoform 1 (DEAD/DEAH box RNA helicase family protein isoform 1)	actin
Actin 7 isoform 2	actin
Actin 7-like protein	actin
Actin 79B	actin
Actin 7b	actin
Actin 8	actin
Actin 9	actin
Actin 97	actin
Actin A	actin
Actin a	actin
Actin A1	actin
Actin A1a	actin
Actin A1b	actin
Actin A1c	actin
Actin A2	actin
Actin A3	actin
Actin Act1	actin
Actin actin-like protein	actin
Actin alpha	actin
Actin alpha 1	actin
Actin alpha 1 skeletal muscle protein	actin
Actin alpha 1, skeletal muscle	actin
Actin alpha 1b	actin
Actin alpha 2	actin
Actin alpha 2, smooth muscle	actin
Actin alpha anomalous	actin
Actin alpha cardiac	actin
Actin alpha cardiac isoform 3	actin
Actin alpha cardiac muscle 1	actin
Actin alpha cardiac muscle 1 proprotein	actin
Actin alpha cardiac muscle 1c	actin
Actin alpha skeletal muscle	actin
Actin alpha skeletal muscle protein	actin
Actin b	actin
Actin B, putative	actin
Actin beta	actin
Actin beta 1	actin
Actin beta gamma 1	actin
Actin beta like 2	actin
Actin beta subunit	actin
Actin beta/gamma 1	actin
Actin beta/gamma 1 (Actin-2)	actin
Actin centractin	actin
Actin CyI	actin
Actin cytoplasmic 1	actin
Actin cytoplasmic 1 isoform 2	actin
Actin cytoplasmic 1 isoform 3	actin
Actin cytoplasmic 2	actin
Actin cytoplasmic A3	actin
Actin cytoplasmic type 5	actin
Actin cytoskeletal	actin
Actin D1	actin
Actin E	actin
Actin E2	actin
Actin gamma	actin
Actin gamma 1	actin
Actin gamma 2, smooth muscle	actin
Actin gamma protein	actin
Actin homolog	actin
Actin homologue	actin
Actin I	actin
Actin i	actin
Actin I (Macronuclear actin I)	actin
Actin I, putative (Actin II, putative)	actin
Actin II	actin
Actin ii (Centractin-like protein)	actin
Actin II (Centractin-like protein), putative	actin
Actin II, putative	actin
Actin II, putative (Actin-2)	actin
Actin isoform 1	actin
Actin isoform 2	actin
Actin isoform A	actin
Actin isoform C	actin
Actin isoform X1	actin
Actin isoform X2	actin
Actin isoform zwei	actin
Actin PACT	actin
Actin plasmodial isoform	actin
Actin protein	actin
Actin protein 3	actin
Actin protein 3B	actin
Actin protein 4, isoform b	actin
Actin protein 6	actin
Actin protein 6A like	actin
Actin protein 6B	actin
Actin protein Arp4p	actin
Actin protein Arp6	actin
Actin protein arp6	actin
Actin protein, putative	actin
Actin putative	actin
Actin T2	actin
Actin type 1	actin
Actin type 2	actin
Actin type I	actin
Actin type II	actin
Actin V1	actin
Actin variant 1	actin
Actin variant 2	actin
Actin_ alpha skeletal muscle	actin
Actin_ muscle	actin
Actin- protein 3-A (Actin-related protein 3)	actin
Actin-/Arp1-/Arp2-/Arp3-related protein	actin
Actin-1	actin
Actin-1 (EC 3.6.4.-)	actin
Actin-1 (EC 3.6.4.-) (Actin I)	actin
Actin-1, putative, expressed	actin
Actin-1/2	actin
Actin-1/4 (EC 3.6.4.-)	actin
Actin-10	actin
Actin-101	actin
Actin-104	actin
Actin-11	actin
Actin-11 isoform 2	actin
Actin-11 isoform A	actin
Actin-11 isoform C (Actin-11 isoform E) (Actin-11 isoform F) (Actin-97)	actin
Actin-11 isoform X2	actin
Actin-18 (EC 3.6.4.-) (Actin-3-sub 2)	actin
Actin-2	actin
Actin-2 (CYFA0S01e13366g1_1)	actin
Actin-2 (EC 3.6.4.-)	actin
Actin-2 (inferred by orthology to a C. elegans protein)	actin
Actin-2, variant 2	actin
Actin-3	actin
Actin-3 (EC 3.6.4.-)	actin
Actin-3 (EC 3.6.4.-) (Actin-3-sub 1)	actin
Actin-3 isoform A (Actin-3 isoform D)	actin
Actin-3 isoform C	actin
Actin-3, muscle-specific	actin
Actin-4	actin
Actin-4 (EC 3.6.4.-)	actin
Actin-41	actin
Actin-42A	actin
Actin-42A (EC 3.6.4.-)	actin
Actin-5	actin
Actin-5 actin	actin
Actin-51	actin
Actin-54	actin
Actin-58	actin
Actin-5C	actin
Actin-5C (EC 3.6.4.-)	actin
Actin-6	actin
Actin-66	actin
Actin-7	actin
Actin-7 (EC 3.6.4.-)	actin
Actin-7 isoform B	actin
Actin-7 isoform C	actin
Actin-7 isoform E	actin
Actin-7, putative, expressed	actin
Actin-71	actin
Actin-75	actin
Actin-8 (EC 3.6.4.-)	actin
Actin-85c	actin
Actin-85C	actin
Actin-87e	actin
